arr_sz,avg_insertion_sort_counter,avg_selection_sort_counter,avg_merge_sort_counter,avg_quick_sort_counter
1000,245564.200000,499500.000000,999.000000,900.000000
2000,994429.300000,1999000.000000,1999.000000,1900.000000
3000,2229538.100000,4498500.000000,2999.000000,2900.000000
4000,3968383.600000,7998000.000000,3999.000000,3900.000000
5000,6166090.100000,12497500.000000,4999.000000,4900.000000
6000,8907022.700000,17997000.000000,5999.000000,5900.000000
7000,12086584.700000,24496500.000000,6999.000000,6900.000000
