arr_sz,avg_insertion_sort_time(ns),avg_selection_sort_time(ns),avg_merge_sort_time(ns),avg_quick_sort_time(ns)
1000,311979.900000,570889.000000,73735.500000,55820.100000
2000,1244583.400000,2209402.400000,153637.400000,116369.500000
3000,2785075.400000,4928096.200000,231173.800000,190262.000000
4000,5040063.800000,8733765.300000,315755.600000,277918.900000
5000,7313368.900000,12946264.100000,392260.300000,354116.600000
6000,10202602.000000,18076390.200000,483352.400000,432065.300000
7000,14075881.600000,25282826.700000,533114.200000,519417.100000
